answer	score	topic	URI
FIFA 23	0.729	спортивный симулятор	http://www.wikidata.org/entity/Q107486489
Football Limited	0.418	спортивный симулятор	http://www.wikidata.org/entity/Q672418
NBA 2K	0.363	спортивный симулятор	http://www.wikidata.org/entity/Q512849
Wii Sports	0.188	спортивный симулятор	http://www.wikidata.org/entity/Q71936
Tennis for Two	0.167	спортивный симулятор	http://www.wikidata.org/entity/Q858294
Wii Sports Resort	0.154	спортивный симулятор	http://www.wikidata.org/entity/Q1135241
Tony Hawk’s Pro Skater 4	0.083	спортивный симулятор	http://www.wikidata.org/entity/Q1512956
Tony Hawk’s Pro Skater 1 + 2	0.073	спортивный симулятор	http://www.wikidata.org/entity/Q94587084
Mario Strikers: Battle League Football	0.042	спортивный симулятор	http://www.wikidata.org/entity/Q110876089
Tony Hawk’s Pro Skater 3	0.011	спортивный симулятор	http://www.wikidata.org/entity/Q1463730
AEW Fight Forever	-0.033	спортивный симулятор	http://www.wikidata.org/entity/Q111844850
Tony Hawk’s Pro Skater 2	-0.052	спортивный симулятор	http://www.wikidata.org/entity/Q1538485
Pong	-0.153	спортивный симулятор	http://www.wikidata.org/entity/Q216293
компьютерные гонки	-0.188	спортивный симулятор	http://www.wikidata.org/entity/Q860750
PainStation	-0.292	спортивный симулятор	http://www.wikidata.org/entity/Q1282807
Tony Hawk	-0.344	спортивный симулятор	http://www.wikidata.org/entity/Q1189289
Pyre	-0.500	спортивный симулятор	http://www.wikidata.org/entity/Q23947160
Mario	-0.625	спортивный симулятор	http://www.wikidata.org/entity/Q4803535
Гринч — похититель Рождества	0.844	рождественский фильм	http://www.wikidata.org/entity/Q131864
Один дома	0.812	рождественский фильм	http://www.wikidata.org/entity/Q105031
Один дома 2: Потерявшийся в Нью-Йорке	0.708	рождественский фильм	http://www.wikidata.org/entity/Q221202
Один дома 3	0.489	рождественский фильм	http://www.wikidata.org/entity/Q382320
Рождественские каникулы	0.479	рождественский фильм	http://www.wikidata.org/entity/Q1421476
Один дома 4	0.396	рождественский фильм	http://www.wikidata.org/entity/Q946562
Санта-Клаусы	0.244	рождественский фильм	http://www.wikidata.org/entity/Q111947838
Реальная любовь	0.062	рождественский фильм	http://www.wikidata.org/entity/Q190588
Стражи Галактики: Специальный праздничный выпуск	-0.021	рождественский фильм	http://www.wikidata.org/entity/Q106729096
Три орешка для Золушки	-0.104	рождественский фильм	http://www.wikidata.org/entity/Q140447
На секретной службе Её Величества	-0.167	рождественский фильм	http://www.wikidata.org/entity/Q107894
Шазам!	-0.312	рождественский фильм	http://www.wikidata.org/entity/Q23685878
С широко закрытыми глазами	-0.375	рождественский фильм	http://www.wikidata.org/entity/Q209481
Мой парень — псих	-0.417	рождественский фильм	http://www.wikidata.org/entity/Q116845
Эдвард Руки-ножницы	-0.438	рождественский фильм	http://www.wikidata.org/entity/Q217182
Крепкий орешек	-0.438	рождественский фильм	http://www.wikidata.org/entity/Q105598
Крепкий орешек 2	-0.438	рождественский фильм	http://www.wikidata.org/entity/Q105993
премия центра Кеннеди	-0.556	рождественский фильм	http://www.wikidata.org/entity/Q1738793
Бэтмен возвращается	-0.708	рождественский фильм	http://www.wikidata.org/entity/Q189054
домашнее животное	0.833	животные	http://www.wikidata.org/entity/Q622852
лама	0.646	животные	http://www.wikidata.org/entity/Q42569
многоклеточные животные	0.562	животные	http://www.wikidata.org/entity/Q151542
плотоядные	0.521	животные	http://www.wikidata.org/entity/Q81875
динозавры	0.417	животные	http://www.wikidata.org/entity/Q430
эуметазои	-0.062	животные	http://www.wikidata.org/entity/Q5174
беспозвоночные	-0.062	животные	http://www.wikidata.org/entity/Q43806
двусторонне-симметричные	-0.104	животные	http://www.wikidata.org/entity/Q5173
Фосса	-0.104	животные	http://www.wikidata.org/entity/Q183330
число зверя	-0.250	животные	http://www.wikidata.org/entity/Q666
губки	-0.271	животные	http://www.wikidata.org/entity/Q18960
ротавирусная инфекция	-0.458	животные	http://www.wikidata.org/entity/Q7370337
Гобелен из Байё	-0.500	животные	http://www.wikidata.org/entity/Q187483
Франциск Ассизский	-0.562	животные	http://www.wikidata.org/entity/Q676555
сперма	-0.604	животные	http://www.wikidata.org/entity/Q9715
Александр Гельевич Дугин	0.438	политолог	http://www.wikidata.org/entity/Q438839
Генри Киссинджер	0.375	политолог	http://www.wikidata.org/entity/Q66107
Александр Юрьевич Бородай	0.312	политолог	http://www.wikidata.org/entity/Q16902077
Збигнев Казимеж Бжезинский	0.229	политолог	http://www.wikidata.org/entity/Q168041
Марина Алексеевна Литвинович	0.188	политолог	http://www.wikidata.org/entity/Q4263661
Майкл Хиггинс	0.125	политолог	http://www.wikidata.org/entity/Q57276
Вудро Вильсон	0.062	политолог	http://www.wikidata.org/entity/Q34296
Ольга Алексеевна Шарий	0.062	политолог	http://www.wikidata.org/entity/Q56308910
Бхимрао Рамджи Амбедкар	0.000	политолог	http://www.wikidata.org/entity/Q231690
Биньямин Нетаньяху	-0.023	политолог	http://www.wikidata.org/entity/Q43723
Янина Висслер	-0.062	политолог	http://www.wikidata.org/entity/Q1682774
Динеш де Суза	-0.062	политолог	http://www.wikidata.org/entity/Q1226328
Гельмут Коль	-0.104	политолог	http://www.wikidata.org/entity/Q2518
Сергей Никитич Хрущёв	-0.146	политолог	http://www.wikidata.org/entity/Q1374180
Хитченс, Кристофер	-0.182	политолог	http://www.wikidata.org/entity/Q49081
Хайль, Хубертус	-0.188	политолог	http://www.wikidata.org/entity/Q71534
Кондолиза Райс	-0.205	политолог	http://www.wikidata.org/entity/Q47216
Ханна Арендт	-0.208	политолог	http://www.wikidata.org/entity/Q60025
Гейвиц, Клара	-0.292	политолог	http://www.wikidata.org/entity/Q1744408
Вольтер	-0.386	политолог	http://www.wikidata.org/entity/Q9068
Бригада	0.600	криминальный телесериал	http://www.wikidata.org/entity/Q915313
Во все тяжкие	0.312	криминальный телесериал	http://www.wikidata.org/entity/Q1079
Закон и порядок	0.302	криминальный телесериал	http://www.wikidata.org/entity/Q321423
Клан Сопрано	0.253	криминальный телесериал	http://www.wikidata.org/entity/Q23628
Мыслить как преступник	0.240	криминальный телесериал	http://www.wikidata.org/entity/Q202141
Место преступления	0.219	криминальный телесериал	http://www.wikidata.org/entity/Q689438
Коломбо	0.135	криминальный телесериал	http://www.wikidata.org/entity/Q371207
Настоящий детектив	0.062	криминальный телесериал	http://www.wikidata.org/entity/Q7847400
Закон и порядок: Специальный корпус	0.042	криминальный телесериал	http://www.wikidata.org/entity/Q218567
Чикатило	0.042	криминальный телесериал	http://www.wikidata.org/entity/Q105668766
Твин Пикс	-0.115	криминальный телесериал	http://www.wikidata.org/entity/Q2085
Монстр: История Джеффри Дамера	-0.167	криминальный телесериал	http://www.wikidata.org/entity/Q106188426
Розенхаймские копы	-0.167	криминальный телесериал	http://www.wikidata.org/entity/Q1215825
Морская полиция: Спецотдел	-0.179	криминальный телесериал	http://www.wikidata.org/entity/Q4525
Чёрный список	-0.188	криминальный телесериал	http://www.wikidata.org/entity/Q13148212
Фарго	-0.271	криминальный телесериал	http://www.wikidata.org/entity/Q15931555
Пацаны	-0.427	криминальный телесериал	http://www.wikidata.org/entity/Q48796994
Уэнздей	-0.688	криминальный телесериал	http://www.wikidata.org/entity/Q105553568
Звёздный путь: Дискавери	0.442	научная фантастика на телевидении	http://www.wikidata.org/entity/Q21296543
Звёздный путь: Странные новые миры	0.415	научная фантастика на телевидении	http://www.wikidata.org/entity/Q94527193
Звёздный путь: Оригинальный сериал	0.411	научная фантастика на телевидении	http://www.wikidata.org/entity/Q1077
Звёздный путь: Следующее поколение	0.323	научная фантастика на телевидении	http://www.wikidata.org/entity/Q16290
Звёздный путь: Пикар	0.198	научная фантастика на телевидении	http://www.wikidata.org/entity/Q62573305
Доктор Кто	0.138	научная фантастика на телевидении	http://www.wikidata.org/entity/Q34316
Очень странные дела	0.074	научная фантастика на телевидении	http://www.wikidata.org/entity/Q19798734
Мандалорец	-0.052	научная фантастика на телевидении	http://www.wikidata.org/entity/Q56876444
Кинематографическая вселенная Marvel	-0.083	научная фантастика на телевидении	http://www.wikidata.org/entity/Q642878
Остаться в живых	-0.146	научная фантастика на телевидении	http://www.wikidata.org/entity/Q23567
Мир Дикого запада	-0.208	научная фантастика на телевидении	http://www.wikidata.org/entity/Q17572811
Тьма	-0.229	научная фантастика на телевидении	http://www.wikidata.org/entity/Q28443710
Оби-Ван Кеноби	-0.271	научная фантастика на телевидении	http://www.wikidata.org/entity/Q104154217
Асока	-0.271	научная фантастика на телевидении	http://www.wikidata.org/entity/Q104153367
Книга Бобы Фетта	-0.326	научная фантастика на телевидении	http://www.wikidata.org/entity/Q104396610
Твин Пикс	-0.469	научная фантастика на телевидении	http://www.wikidata.org/entity/Q2085
Стивен Кинг	0.750	литература ужасов	http://www.wikidata.org/entity/Q39829
Говард Филлипс Лавкрафт	0.250	литература ужасов	http://www.wikidata.org/entity/Q169566
Зов Ктулху	0.250	литература ужасов	http://www.wikidata.org/entity/Q1141815
Брэм Стокер	0.229	литература ужасов	http://www.wikidata.org/entity/Q36184
Роберт Лоуренс Стайн	0.104	литература ужасов	http://www.wikidata.org/entity/Q333123
Четыре после полуночи	0.000	литература ужасов	http://www.wikidata.org/entity/Q2344221
Макс Брукс	-0.062	литература ужасов	http://www.wikidata.org/entity/Q28170
Энн Райс	-0.062	литература ужасов	http://www.wikidata.org/entity/Q184785
Нил Гейман	-0.104	литература ужасов	http://www.wikidata.org/entity/Q210059
Чак Паланик	-0.104	литература ужасов	http://www.wikidata.org/entity/Q268181
готическая литература	-0.167	литература ужасов	http://www.wikidata.org/entity/Q19715429
Вольфганг Хольбайн	-0.167	литература ужасов	http://www.wikidata.org/entity/Q61994
Табита Кинг	-0.188	литература ужасов	http://www.wikidata.org/entity/Q284287
Рэй Брэдбери	-0.188	литература ужасов	http://www.wikidata.org/entity/Q40640
Роальд Даль	-0.250	литература ужасов	http://www.wikidata.org/entity/Q25161
Новый Дозор	-0.292	литература ужасов	http://www.wikidata.org/entity/Q4326895
Джеки Чан	0.771	боевые искусства	http://www.wikidata.org/entity/Q36970
Парень-каратист	0.333	боевые искусства	http://www.wikidata.org/entity/Q846679
Джет Ли	0.229	боевые искусства	http://www.wikidata.org/entity/Q159577
Шан-Чи и легенда десяти колец	0.188	боевые искусства	http://www.wikidata.org/entity/Q65768589
Смертельная битва	0.167	боевые искусства	http://www.wikidata.org/entity/Q819196
Парень-каратист 2	0.146	боевые искусства	http://www.wikidata.org/entity/Q1418251
Парень-каратист 3	0.000	боевые искусства	http://www.wikidata.org/entity/Q1586077
Убить Билла. Фильм 2	-0.021	боевые искусства	http://www.wikidata.org/entity/Q928019
Ли, Брэндон	-0.062	боевые искусства	http://www.wikidata.org/entity/Q211462
Убить Билла. Фильм 1	-0.104	боевые искусства	http://www.wikidata.org/entity/Q165325
Джек Ричер	-0.250	боевые искусства	http://www.wikidata.org/entity/Q590252
Сорвиголова	-0.396	боевые искусства	http://www.wikidata.org/entity/Q751805
Всё везде и сразу	-0.458	боевые искусства	http://www.wikidata.org/entity/Q83808444
Матрица: Перезагрузка	-0.542	боевые искусства	http://www.wikidata.org/entity/Q189600
Just Dance 2022	0.562	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q99477498
Guitar Hero III: Legends of Rock	0.523	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q1047938
Guitar Hero II	0.417	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q1798154
Guitar Hero	0.375	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q116578
SingStar	0.229	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q1502333
Beat Saber	0.146	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q53998035
Dance Dance Revolution	0.136	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q908392
Frets on Fire	0.104	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q1362771
Just Dance 2020	0.104	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q64533003
Just Dance	0.062	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q9016800
Michael Jackson: The Experience	0.021	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q1308224
Kingdom Hearts: Melody of Memory	-0.021	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q96603714
Just Dance 2021	-0.045	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q98657399
Hatsune Miku: Project DIVA (серия игр)	-0.062	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q553201
Sayonara Wild Hearts	-0.125	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q76122450
PaRappa the Rapper	-0.188	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q1340462
To be on Top	-0.208	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q31837535
Patapon 2: Don Chaka	-0.255	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q2671323
Elite Beat Agents	-0.277	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q1196429
Space Channel 5	-0.312	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q66058371
Patapon 3	-0.312	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q4046527
osu!	-0.417	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q307441
музыкальная игра	-0.455	музыкальная компьютерная игра	http://www.wikidata.org/entity/Q2632782
Пол Маккартни	0.688	бас гитарист	http://www.wikidata.org/entity/Q2599
Джордж Харрисон	0.312	бас гитарист	http://www.wikidata.org/entity/Q2643
Уилсон, Брайан	0.292	бас гитарист	http://www.wikidata.org/entity/Q313013
Джин Симмонс	0.234	бас гитарист	http://www.wikidata.org/entity/Q207197
Джермейн Джексон	0.167	бас гитарист	http://www.wikidata.org/entity/Q317784
Сид Вишес	0.104	бас гитарист	http://www.wikidata.org/entity/Q47878
Роджер Тейлор	0.042	бас гитарист	http://www.wikidata.org/entity/Q15880
Глеб Рудольфович Самойлов	-0.021	бас гитарист	http://www.wikidata.org/entity/Q4406697
Клаус Фишер	-0.021	бас гитарист	http://www.wikidata.org/entity/Q1098508
Фли	-0.021	бас гитарист	http://www.wikidata.org/entity/Q202859
Гонсалес, Родриго	-0.042	бас гитарист	http://www.wikidata.org/entity/Q677129
Ландерс, Пауль	-0.042	бас гитарист	http://www.wikidata.org/entity/Q165644
Томас Сангстер	-0.125	бас гитарист	http://www.wikidata.org/entity/Q312531
Сергей Владимирович Шнуров	-0.208	бас гитарист	http://www.wikidata.org/entity/Q921496
Белла Торн	-0.277	бас гитарист	http://www.wikidata.org/entity/Q208117
Павел Артемьевич Артемьев	-0.375	бас гитарист	http://www.wikidata.org/entity/Q4070234
Наталья Юрьевна Чумакова	-0.708	бас гитарист	http://www.wikidata.org/entity/Q4518005
Музей современного искусства	0.771	музей современного искусства	http://www.wikidata.org/entity/Q188740
Национальный музей искусств XXI века	0.500	музей современного искусства	http://www.wikidata.org/entity/Q1881229
Национальные музей и галерея Каподимонте	0.413	музей современного искусства	http://www.wikidata.org/entity/Q290549
Палатинская галерея	0.104	музей современного искусства	http://www.wikidata.org/entity/Q866498
Галерея Академии (Венеция)	0.065	музей современного искусства	http://www.wikidata.org/entity/Q338330
Королевский дворец в Казерте	-0.021	музей современного искусства	http://www.wikidata.org/entity/Q327983
Пинакотека Брера	-0.152	музей современного искусства	http://www.wikidata.org/entity/Q150066
Коллекция Пегги Гуггенхайм	-0.174	музей современного искусства	http://www.wikidata.org/entity/Q1049033
Палаццо Питти	-0.217	музей современного искусства	http://www.wikidata.org/entity/Q29286
Вилла Балбьянелло	-0.333	музей современного искусства	http://www.wikidata.org/entity/Q1759446
Мирамаре	-0.370	музей современного искусства	http://www.wikidata.org/entity/Q165069
Сад Таро	-0.562	музей современного искусства	http://www.wikidata.org/entity/Q949846
Джо Байден	0.562	президент США	http://www.wikidata.org/entity/Q6279
Дональд Трамп	0.562	президент США	http://www.wikidata.org/entity/Q22686
Барак Обама	0.292	президент США	http://www.wikidata.org/entity/Q76
Джон Фицджеральд Кеннеди	0.281	президент США	http://www.wikidata.org/entity/Q9696
Франклин Делано Рузвельт	0.177	президент США	http://www.wikidata.org/entity/Q8007
Джордж Уокер Буш	0.135	президент США	http://www.wikidata.org/entity/Q207
Джордж Герберт Уокер Буш	0.094	президент США	http://www.wikidata.org/entity/Q23505
Рональд Рейган	0.052	президент США	http://www.wikidata.org/entity/Q9960
Билл Клинтон	0.010	президент США	http://www.wikidata.org/entity/Q1124
Джимми Картер	-0.219	президент США	http://www.wikidata.org/entity/Q23685
Президентские выборы в США в 2020 году	-0.458	президент США	http://www.wikidata.org/entity/Q22923830
США	-0.500	президент США	http://www.wikidata.org/entity/Q30
Вооружённые силы США	-0.812	президент США	http://www.wikidata.org/entity/Q11211
Джонни Депп	0.811	актёр	http://www.wikidata.org/entity/Q37175
Том Холланд	0.417	актёр	http://www.wikidata.org/entity/Q2023710
Райан Рейнольдс	0.312	актёр	http://www.wikidata.org/entity/Q192682
Кейт Бланшетт	0.274	актёр	http://www.wikidata.org/entity/Q80966
Эмбер Херд	0.219	актёр	http://www.wikidata.org/entity/Q229166
Вайнона Райдер	0.208	актёр	http://www.wikidata.org/entity/Q101797
Рэйф Файнс	0.167	актёр	http://www.wikidata.org/entity/Q28493
Дженнифер Коннелли	0.125	актёр	http://www.wikidata.org/entity/Q103343
Стеллан Скарсгард	0.104	актёр	http://www.wikidata.org/entity/Q208667
Оливия Уайлд	0.010	актёр	http://www.wikidata.org/entity/Q200355
Ванесса Паради	0.000	актёр	http://www.wikidata.org/entity/Q51023
Райли Кио	-0.083	актёр	http://www.wikidata.org/entity/Q254947
Ана де Армас	-0.104	актёр	http://www.wikidata.org/entity/Q698173
Талула Райли	-0.115	актёр	http://www.wikidata.org/entity/Q269309
Зои Кравиц	-0.147	актёр	http://www.wikidata.org/entity/Q227129
Присцилла Пресли	-0.208	актёр	http://www.wikidata.org/entity/Q234773
Зендея	-0.219	актёр	http://www.wikidata.org/entity/Q189489
Валерий Тодоровский	-0.274	актёр	http://www.wikidata.org/entity/Q1969891
Тилль Линдеманн	-0.292	актёр	http://www.wikidata.org/entity/Q154852
Родольфо Гуччи	-0.333	актёр	http://www.wikidata.org/entity/Q3852571
Владимир Александрович Зеленский	-0.531	актёр	http://www.wikidata.org/entity/Q3874799
Дональд Трамп	-0.667	актёр	http://www.wikidata.org/entity/Q22686
Стражи Галактики. Часть 3	0.333	приключенческий фильм	http://www.wikidata.org/entity/Q29226331
Мир юрского периода: Господство	0.292	приключенческий фильм	http://www.wikidata.org/entity/Q55178974
Аватар: Путь воды	0.250	приключенческий фильм	http://www.wikidata.org/entity/Q3604746
Мстители: Финал	0.229	приключенческий фильм	http://www.wikidata.org/entity/Q23781155
Доктор Стрэндж: В мультивселенной безумия	0.083	приключенческий фильм	http://www.wikidata.org/entity/Q64211112
Человек-паук: Нет пути домой	0.083	приключенческий фильм	http://www.wikidata.org/entity/Q68934496
Фантастические твари: Преступления Грин-де-Вальда	0.083	приключенческий фильм	http://www.wikidata.org/entity/Q18199331
Капитан Марвел 2	0.064	приключенческий фильм	http://www.wikidata.org/entity/Q89474225
Гарри Поттер и философский камень	0.043	приключенческий фильм	http://www.wikidata.org/entity/Q102438
Фантастические твари: Тайны Дамблдора	0.000	приключенческий фильм	http://www.wikidata.org/entity/Q18199332
Тор: Любовь и гром	-0.085	приключенческий фильм	http://www.wikidata.org/entity/Q65768604
King's Man: Начало	-0.104	приключенческий фильм	http://www.wikidata.org/entity/Q61633664
Вечные	-0.271	приключенческий фильм	http://www.wikidata.org/entity/Q23894629
Чёрный Адам	-0.354	приключенческий фильм	http://www.wikidata.org/entity/Q28657013
Джонни Депп	-0.660	приключенческий фильм	http://www.wikidata.org/entity/Q37175
Counter-Strike: Global Offensive	0.326	action	http://www.wikidata.org/entity/Q842146
action-adventure	0.298	action	http://www.wikidata.org/entity/Q343568
S.T.A.L.K.E.R. 2: Сердце Чернобыля	0.279	action	http://www.wikidata.org/entity/Q10865101
Doom 3	0.208	action	http://www.wikidata.org/entity/Q203310
Resident Evil Village	0.125	action	http://www.wikidata.org/entity/Q96216515
action/RPG	0.093	action	http://www.wikidata.org/entity/Q1422746
Dota 2	0.064	action	http://www.wikidata.org/entity/Q771541
Suicide Squad: Kill the Justice League	0.027	action	http://www.wikidata.org/entity/Q98142979
Return to Castle Wolfenstein	-0.021	action	http://www.wikidata.org/entity/Q748317
God of War: Chains of Olympus	-0.023	action	http://www.wikidata.org/entity/Q1341921
The Last of Us Part II	-0.042	action	http://www.wikidata.org/entity/Q27950674
Metal Gear Rising: Revengeance	-0.042	action	http://www.wikidata.org/entity/Q930345
Ratchet & Clank: Сквозь миры	-0.070	action	http://www.wikidata.org/entity/Q96217480
Kingdom Hearts	-0.167	action	http://www.wikidata.org/entity/Q755167
Death Stranding	-0.271	action	http://www.wikidata.org/entity/Q24666782
симулятор выживания	-0.271	action	http://www.wikidata.org/entity/Q21030988
Bayonetta	-0.458	action	http://www.wikidata.org/entity/Q791569
Убийство в Восточном экспрессе	0.625	фильм тайна	http://www.wikidata.org/entity/Q27689100
Начало	0.417	фильм тайна	http://www.wikidata.org/entity/Q25188
Смерть на Ниле	0.292	фильм тайна	http://www.wikidata.org/entity/Q56816969
Помни	0.229	фильм тайна	http://www.wikidata.org/entity/Q190525
Ангелы и демоны	0.188	фильм тайна	http://www.wikidata.org/entity/Q192934
Достать ножи: Стеклянная луковица	0.062	фильм тайна	http://www.wikidata.org/entity/Q84712797
Достать ножи	0.062	фильм тайна	http://www.wikidata.org/entity/Q57982486
Бегущий по лезвию 2049	0.000	фильм тайна	http://www.wikidata.org/entity/Q21500755
Энола Холмс	-0.042	фильм тайна	http://www.wikidata.org/entity/Q65032692
Энола Холмс 2	-0.042	фильм тайна	http://www.wikidata.org/entity/Q108764447
Прочь	-0.125	фильм тайна	http://www.wikidata.org/entity/Q25136235
Джейсон Борн	-0.146	фильм тайна	http://www.wikidata.org/entity/Q19481099
Там, где раки поют	-0.208	фильм тайна	http://www.wikidata.org/entity/Q106311043
Не беспокойся, дорогая	-0.229	фильм тайна	http://www.wikidata.org/entity/Q100801718
Неуязвимый	-0.271	фильм тайна	http://www.wikidata.org/entity/Q650613
Крик	-0.271	фильм тайна	http://www.wikidata.org/entity/Q27411
Крик 4	-0.542	фильм тайна	http://www.wikidata.org/entity/Q323392
